"Sport","S.NO","Name","Nationality","Current.Rank","Previous.Year.Rank","Year","earnings....million.","END","STR","PWR","SPD","AGI","FLX","NER","DUR","HAN","ANA","TOTAL","RANK","Tougher Sport","Difference in Wealth Rank and Toughness Rank","Sport Percentage of List"
"Tennis",39,"Jim Courier","USA",9,"9",1993,12.6,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,2,8
"Tennis",130,"Andre Agassi","USA",9,">10",2003,24,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,2,8
"Tennis",138,"Andre Agassi","USA",7,"9",2004,28.2,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,0,8
"Tennis",238,"Roger Federer","Switzerland",7,"2",2014,56.2,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,0,8
"Tennis",197,"Roger Federer","Switzerland",6,">10",2010,43,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,-1,8
"Tennis",30,"Monica Seles","USA",10,"12",1992,8.5,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,3,8
"Tennis",49,"Andre Agassi","USA",9,"20",1994,11.4,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,2,8
"Tennis",257,"Novak Djokovic","Serbia",6,"13",2016,55.8,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,-1,8
"Tennis",29,"Jim Courier","USA",9,">40",1992,9,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,2,8
"Tennis",255,"Roger Federer","Switzerland",4,"5",2016,67.8,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,-3,8
"Tennis",57,"Andre Agassi","USA",7,"9",1995,16,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,0,8
"Tennis",216,"Roger Federer","Switzerland",5,"4",2012,52.7,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,-2,8
"Tennis",223,"Roger Federer","Switzerland",2,"5",2013,71.5,7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7,TRUE,-5,8
